DateKey,BusinessEndOFQuater,BusinessEndOfMonth,d_Date,Month,PreviousBusinessEndOfMonth,PreviousBusinessEndOfQuarter,Qtr,Week
0,3/31/70,1/30/70,1,1,12/31/69,12/31/69,1,1
1,3/31/70,1/30/70,2,1,12/31/69,12/31/69,1,1
2,3/31/70,1/30/70,5,1,12/31/69,12/31/69,1,2
3,3/31/70,1/30/70,6,1,12/31/69,12/31/69,1,2
4,3/31/70,1/30/70,7,1,12/31/69,12/31/69,1,2
5,3/31/70,1/30/70,8,1,12/31/69,12/31/69,1,2
6,3/31/70,1/30/70,9,1,12/31/69,12/31/69,1,2
7,3/31/70,1/30/70,12,1,12/31/69,12/31/69,1,3
8,3/31/70,1/30/70,13,1,12/31/69,12/31/69,1,3
9,3/31/70,1/30/70,14,1,12/31/69,12/31/69,1,3
10,3/31/70,1/30/70,15,1,12/31/69,12/31/69,1,3
11,3/31/70,1/30/70,16,1,12/31/69,12/31/69,1,3
12,3/31/70,1/30/70,19,1,12/31/69,12/31/69,1,4
13,3/31/70,1/30/70,20,1,12/31/69,12/31/69,1,4
14,3/31/70,1/30/70,21,1,12/31/69,12/31/69,1,4
15,3/31/70,1/30/70,22,1,12/31/69,12/31/69,1,4
16,3/31/70,1/30/70,23,1,12/31/69,12/31/69,1,4
17,3/31/70,1/30/70,26,1,12/31/69,12/31/69,1,5
18,3/31/70,1/30/70,27,1,12/31/69,12/31/69,1,5
19,3/31/70,1/30/70,28,1,12/31/69,12/31/69,1,5
20,3/31/70,1/30/70,29,1,12/31/69,12/31/69,1,5
21,3/31/70,1/30/70,30,1,12/31/69,12/31/69,1,5
22,3/31/70,2/27/70,2,2,1/30/70,12/31/69,1,6
23,3/31/70,2/27/70,3,2,1/30/70,12/31/69,1,6
24,3/31/70,2/27/70,4,2,1/30/70,12/31/69,1,6
25,3/31/70,2/27/70,5,2,1/30/70,12/31/69,1,6
26,3/31/70,2/27/70,6,2,1/30/70,12/31/69,1,6
27,3/31/70,2/27/70,9,2,1/30/70,12/31/69,1,7
28,3/31/70,2/27/70,10,2,1/30/70,12/31/69,1,7
29,3/31/70,2/27/70,11,2,1/30/70,12/31/69,1,7
30,3/31/70,2/27/70,12,2,1/30/70,12/31/69,1,7
31,3/31/70,2/27/70,13,2,1/30/70,12/31/69,1,7
32,3/31/70,2/27/70,16,2,1/30/70,12/31/69,1,8
33,3/31/70,2/27/70,17,2,1/30/70,12/31/69,1,8
34,3/31/70,2/27/70,18,2,1/30/70,12/31/69,1,8
35,3/31/70,2/27/70,19,2,1/30/70,12/31/69,1,8
36,3/31/70,2/27/70,20,2,1/30/70,12/31/69,1,8
37,3/31/70,2/27/70,23,2,1/30/70,12/31/69,1,9
38,3/31/70,2/27/70,24,2,1/30/70,12/31/69,1,9
39,3/31/70,2/27/70,25,2,1/30/70,12/31/69,1,9
40,3/31/70,2/27/70,26,2,1/30/70,12/31/69,1,9
41,3/31/70,2/27/70,27,2,1/30/70,12/31/69,1,9
42,3/31/70,3/31/70,2,3,2/27/70,12/31/69,1,10
43,3/31/70,3/31/70,3,3,2/27/70,12/31/69,1,10
44,3/31/70,3/31/70,4,3,2/27/70,12/31/69,1,10
45,3/31/70,3/31/70,5,3,2/27/70,12/31/69,1,10
46,3/31/70,3/31/70,6,3,2/27/70,12/31/69,1,10
47,3/31/70,3/31/70,9,3,2/27/70,12/31/69,1,11
48,3/31/70,3/31/70,10,3,2/27/70,12/31/69,1,11
49,3/31/70,3/31/70,11,3,2/27/70,12/31/69,1,11
50,3/31/70,3/31/70,12,3,2/27/70,12/31/69,1,11
51,3/31/70,3/31/70,13,3,2/27/70,12/31/69,1,11
52,3/31/70,3/31/70,16,3,2/27/70,12/31/69,1,12
53,3/31/70,3/31/70,17,3,2/27/70,12/31/69,1,12
54,3/31/70,3/31/70,18,3,2/27/70,12/31/69,1,12
55,3/31/70,3/31/70,19,3,2/27/70,12/31/69,1,12
56,3/31/70,3/31/70,20,3,2/27/70,12/31/69,1,12
57,3/31/70,3/31/70,23,3,2/27/70,12/31/69,1,13
58,3/31/70,3/31/70,24,3,2/27/70,12/31/69,1,13
59,3/31/70,3/31/70,25,3,2/27/70,12/31/69,1,13
60,3/31/70,3/31/70,26,3,2/27/70,12/31/69,1,13
61,3/31/70,3/31/70,27,3,2/27/70,12/31/69,1,13
62,3/31/70,3/31/70,30,3,2/27/70,12/31/69,1,14
63,6/30/70,3/31/70,31,3,2/27/70,12/31/69,1,14
64,6/30/70,4/30/70,1,4,3/31/70,3/31/70,2,14
65,6/30/70,4/30/70,2,4,3/31/70,3/31/70,2,14
66,6/30/70,4/30/70,3,4,3/31/70,3/31/70,2,14
67,6/30/70,4/30/70,6,4,3/31/70,3/31/70,2,15
68,6/30/70,4/30/70,7,4,3/31/70,3/31/70,2,15
69,6/30/70,4/30/70,8,4,3/31/70,3/31/70,2,15
70,6/30/70,4/30/70,9,4,3/31/70,3/31/70,2,15
71,6/30/70,4/30/70,10,4,3/31/70,3/31/70,2,15
72,6/30/70,4/30/70,13,4,3/31/70,3/31/70,2,16
73,6/30/70,4/30/70,14,4,3/31/70,3/31/70,2,16
74,6/30/70,4/30/70,15,4,3/31/70,3/31/70,2,16
75,6/30/70,4/30/70,16,4,3/31/70,3/31/70,2,16
76,6/30/70,4/30/70,17,4,3/31/70,3/31/70,2,16
77,6/30/70,4/30/70,20,4,3/31/70,3/31/70,2,17
78,6/30/70,4/30/70,21,4,3/31/70,3/31/70,2,17
79,6/30/70,4/30/70,22,4,3/31/70,3/31/70,2,17
80,6/30/70,4/30/70,23,4,3/31/70,3/31/70,2,17
81,6/30/70,4/30/70,24,4,3/31/70,3/31/70,2,17
82,6/30/70,4/30/70,27,4,3/31/70,3/31/70,2,18
83,6/30/70,4/30/70,28,4,3/31/70,3/31/70,2,18
84,6/30/70,4/30/70,29,4,3/31/70,3/31/70,2,18
85,6/30/70,4/30/70,30,4,3/31/70,3/31/70,2,18
86,6/30/70,5/29/70,1,5,4/30/70,3/31/70,2,18
87,6/30/70,5/29/70,4,5,4/30/70,3/31/70,2,19
88,6/30/70,5/29/70,5,5,4/30/70,3/31/70,2,19
89,6/30/70,5/29/70,6,5,4/30/70,3/31/70,2,19
90,6/30/70,5/29/70,7,5,4/30/70,3/31/70,2,19
91,6/30/70,5/29/70,8,5,4/30/70,3/31/70,2,19
92,6/30/70,5/29/70,11,5,4/30/70,3/31/70,2,20
93,6/30/70,5/29/70,12,5,4/30/70,3/31/70,2,20
94,6/30/70,5/29/70,13,5,4/30/70,3/31/70,2,20
